continent,publications,cited_by_count,countries
Latin America and Caribbean,34,798,Argentina; Chile; Colombia; Cuba; Ecuador; Peru; Venezuela
North America,12,257,Mexico; United States
Europe,8,282,Finland; France; Italy; Poland; Portugal; Spain
Unknown,8,79,BO; CR; PY; SV; UNKNOWN
Asia,2,6,Japan; South Korea
