openalex_id,doi,title,publication_year,publication_date,type,cited_by_count,authors,institutions,countries,source,landing_page_url,is_open_access,abstract,keywords
https://openalex.org/W7147672075,https://doi.org/10.5281/zenodo.19360522,Acelerando Astropartículas,2026,2026-03-28,book,0,Mariana Gomes Pacheco de Sá; Farinaldo da Silva Queiroz; Silvia Lucía Correa Angel,FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic; Universidade Federal do Rio Grande do Norte,CZ; BR,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.19360522,True,"Bem-vindo(a) a este e-book.Este trabalho é fruto do Programa de Formação em Física de Partículas e Astropartículas da Universidade Federal do Rio Grande do Norte (UFRN), estando vinculado ao Projeto de Extensão CR186-2025.Com o objetivo de compartilhar conhecimento de forma acessível a estudantes do ensino médio e da graduação, este material foi elaborado como parte de uma Iniciação Científica no formato EAD, sendo escrito por Mariana Sá e editado por Lucia Angel.Ao longo das próximas páginas, você terá a oportunidade de explorar conceitos fundamentais da física moderna e construir um repertório sólido sobre temas fascinantes, como a Física de Partículas e a Física de Aceleradores.Espero que este e-book lhe sirva como um guia valioso e que inspire em você a mesma curiosidade e paixão pela ciência que impulsionaram a sua criação.",Astropartículas; Física; Partículas; Física Partículas; Acelerando; Book; Forma; Acelerando Astropartículas; Astropartículas Vindo; Vindo Book; Book Trabalho; Trabalho Fruto
https://openalex.org/W7147332949,https://doi.org/10.5281/zenodo.19360523,Acelerando Astropartículas,2026,2026-03-28,book,0,Mariana Gomes Pacheco de Sá; Farinaldo da Silva Queiroz; Silvia Lucía Correa Angel,FZU ‒ Institute of Physics of the Academy of Sciences of the Czech Republic; Universidade Federal do Rio Grande do Norte,CZ; BR,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.19360523,True,"Bem-vindo(a) a este e-book.Este trabalho é fruto do Programa de Formação em Física de Partículas e Astropartículas da Universidade Federal do Rio Grande do Norte (UFRN), estando vinculado ao Projeto de Extensão CR186-2025.Com o objetivo de compartilhar conhecimento de forma acessível a estudantes do ensino médio e da graduação, este material foi elaborado como parte de uma Iniciação Científica no formato EAD, sendo escrito por Mariana Sá e editado por Lucia Angel.Ao longo das próximas páginas, você terá a oportunidade de explorar conceitos fundamentais da física moderna e construir um repertório sólido sobre temas fascinantes, como a Física de Partículas e a Física de Aceleradores.Espero que este e-book lhe sirva como um guia valioso e que inspire em você a mesma curiosidade e paixão pela ciência que impulsionaram a sua criação.",Astropartículas; Física; Partículas; Física Partículas; Acelerando; Book; Forma; Acelerando Astropartículas; Astropartículas Vindo; Vindo Book; Book Trabalho; Trabalho Fruto
https://openalex.org/W2946922247,https://doi.org/10.21439/conexoes.v13i2.1677,Astropartículas na América do Sul,2019,2019-05-28,article,0,R.C. Shellard,Centro Brasileiro de Pesquisas Físicas,BR,Conexões - Ciência e Tecnologia,https://doi.org/10.21439/conexoes.v13i2.1677,True,"Descrevemos neste artigo os avanços recentes na área das Astropartículas, realizados em experimentos construídos em países da América Latina e apontamos alguns dos projetos que estão sendo concebidos para explorar com maior detalhe as astropartículas de altíssimas energias.",Astropartículas; América; Astropartículas América; América Descrevemos; Descrevemos Neste; Neste Artigo; Artigo Avan; Avan Recentes; Recentes Área; Área Astropartículas; Astropartículas Realizados; Realizados Experimentos
https://openalex.org/W7152616291,https://doi.org/10.47456/cad.astro.v7n1.52150,Desafios em astropartículas,2026,2026-04-09,article,0,Clarissa Siqueira,National Observatory,BR,Cadernos de Astronomia,https://doi.org/10.47456/cad.astro.v7n1.52150,True,"Astroparticle physics plays a central role in addressing fundamental questions in modern physics by connecting particle physics, cosmology, and astrophysics. Among the main problems, we highlight the nature of dark matter and dark energy, primordial inflation, the matter-antimatter asymmetry of the universe, and the origin of ultra-high-energy cosmic messengers. In this article, we review the main observational evidence for dark matter, which spans scales from galactic to cosmological, and discuss the two most explored scenarios for its nature: primordial black holes and new fundamental particles beyond the Standard Model. We explore the main theoretical and experimental bottlenecks that challenge the search for the nature of dark matter, highlighting those associated with extended mass distributions of primordial black holes and the absence of weakly interacting massive particle signals in direct, indirect, and accelerator detection experiments. We also discuss the role of next-generation experiments, including very high-energy gamma-ray telescopes and multi-messenger detectors. Finally, we conclude that the combination of high-precision observations and theoretical advances will be crucial to elucidating the microphysics of dark matter and deepening our understanding of the extreme universe.",Dark Matter; Dark; Matter; Nature Dark; High Energy; Primordial Black; Black Holes; Physics; Main; Nature; Energy; Primordial
https://openalex.org/W2810618780,,Física de Astropartículas,2018,2018-02-27,article,0,Marcos López,Universidad Complutense de Madrid,ES,Revista española de física,https://dialnet.unirioja.es/servlet/articulo?codigo=6483887,False,"La Fisica de Astroparticulas es una moderna disciplina que se encuentra a medio camino entre la fisica de particulas (de la que hereda la mayoria de las tecnicas experimentales) y la astrofisica. Dentro de ella, destaca la astronomia gamma de muy altas energias, que se ocupa del estudio del universo en la zona del espectro electromagnetico correspondiente a energias mayores de 10 gigaelectronvoltios (GeV), mediante la observacion de los rayos gamma de alta energia que llegan a la Tierra desde el espacio exterior. Cabe destacar que estas energias son diez mil millones de veces mayores que la de la luz visible.",Energias; Física; Astropartículas; Fisica; Gamma; Mayores; Física Astropartículas; Astropartículas Fisica; Fisica Astroparticulas; Astroparticulas Moderna; Moderna Disciplina; Disciplina Encuentra
https://openalex.org/W4205708438,https://doi.org/10.3390/universe8010037,Digging into Axion Physics with (Baby)IAXO,2022,2022-01-08,article,6,T. Dafní; J. Galán,Universidad de Zaragoza,ES,Universe,https://doi.org/10.3390/universe8010037,True,"Dark matter searches have been ongoing for three decades; the lack of a positive discovery of the main candidate, the WIMP, after dedicated efforts, has put axions and axion-like particles in the spotlight. The three main techniques employed to search for them complement each other well in covering a wide range in the parameter space defined by the axion decay constant and the axion mass. The International AXion Observatory (IAXO) is an international collaboration planning to build the fourth generation axion helioscope, with an unparalleled expected sensitivity and discovery potential. The distinguishing characteristic of IAXO is that it will feature a magnet that is designed to maximise the relevant parameters in sensitivity and which will be equipped with X-ray focusing devices and detectors that have been developed for axion physics. In this paper, we review aspects that motivate IAXO and its prototype, BabyIAXO, in the axion, and ALPs landscape. As part of this Special Issue, some emphasis is given on Spanish participation in the project, of which CAPA (Centro de Astropartículas y Física de Altas Energías of the Universidad de Zaragoza) is a strong promoter.",Axion; Iaxo; Physics; Axion Physics; Digging; Baby; Three; Discovery; Main; International; Sensitivity; Will
https://openalex.org/W7120342860,,Astropartículas e sua origem no Universo local,2025,2025-06-17,dissertation,0,Cainã de Oliveira,,,Digital Library of Theses and Dissertations  (Universidade de São Paulo),https://www.teses.usp.br/teses/disponiveis/76/76134/tde-27082025-085555/,False,"In this thesis, we explore nearby extragalactic astrophysical objects as sources of astroparticles, focusing on the origin of the anisotropies observed in the arrival directions of ultra-high-energy cosmic rays (UHECRs) and the acceleration of particles along the jet of the nearby radio galaxy Centaurus A. It is a well-established fact that nearby extragalactic sources are necessary to explain the flux of UHECRs. In studies of the origin of the UHECR anisotropies, we simulate the propagation of UHECRs in the extragalactic environment. We discussed the effect of extragalactic magnetic field models of different origins on the UHECR anisotropies. The consequences of Liouvilles theorem for generating anisotropies are studied, and we developed a new set of equations for the evolution of angular power spectrum coefficients. We tested astrophysical objects from different catalogs as potential UHECR sources by predicting the resulting anisotropies under different extragalactic magnetic field models and proxies for the UHECR flux. The effects of the Galactic magnetic field are also discussed.We showed that the extragalactic magnetic field has an important impact on the anisotropies of local objects, especially concerning the intermediate-scale anisotropies. We propose that to combine blazars and radio galaxies in studies where the &gamma;-ray radiation is used as a proxy to the UHECR flux, it is necessary to treat the angular distribution of the UHECRs after leaving the acceleration site. The results suggest that nearby active galactic nuclei may be responsible for the dipole direction measured by the Pierre Auger Observatory for energies above 32 EeV and some of the anisotropies observed at intermediate angular scales. Nearby objects can be studied in the electromagnetic spectrum in greater detail and at multiple wavelengths. Based on that, the radio galaxy Centaurus A, a potential source of UHECRs, was chosen for a deeper study. We modeled the particle acceleration in the knots of its jet, considering measurements in multiple wavelengths. The morphological and spectral predictions of the model are explored; in particular, the production of -rays is discussed. The acceleration of UHECRs in the knots was demonstrated to be unlikely.",Anisotropies; Magnetic Field; Extragalactic; Uhecrs; Extragalactic Magnetic; Nearby; Uhecr; Local; Objects; Acceleration; Magnetic; Field
https://openalex.org/W7120477553,,Busca por partículas exóticas (Q-balls) em Astropartículas ultra-energéticas,2023,2023-06-19,dissertation,0,Tales Ferraz de Paula,,,Digital Library of Theses and Dissertations  (Universidade de São Paulo),https://www.teses.usp.br/teses/disponiveis/76/76134/tde-14072023-141627/,False,"This dissertation was proposed in the scenario of studying candidates for the origins of ultra-high-energy cosmic rays. The main goal is to study exotic air showers induced by Q-balls and to develop a method to differentiate exotic-induced air showers from proton-induced ones in the energy range from 1017.0 to 1021.0 eV. The first part of the study was done with the analysis of longitudinal profiles of air showers simulated with CONEX for more than seventeen thousand events simulated. In the second part, a method is proposed that is compatible with the event-analysis chain of the Pierre Auger Observatory. The first results are divided in three parts, based on the three simulation groups that were done. The first result from the simulation study allowed the proposal of another fit function hypothesis to describe the exotic-induced shower, along with the Gaisser-Hillas function, typically used to describe the profile of hadronic-induced showers. The second result allowed a fully unambiguously classification based on the goodness-of-fit method X2/ndf value when comparing both fitted functions for each primary particle. The third result from simulated events analysis showed independence of energy deposit rate from primary energy for exotic-induced showers, allowing a parametrization proposal for the energy deposit rate with Q-balls cross-section. The second part of results was to apply the proposed method to Pierre Auger Observatory, by testing it on the Observatorys Offline. A new module was proposed for it and a initial test was performed. It is shown that, even after taking into account all the detector and geometry effects related to the fluorescence-based detection of extensive air showers, the classification of exotics is still possible, hinting to the success of the method. Further study, however, is necessary to fully test and validate the method, and the next steps were then discussed.",Balls; Showers; Induced; Method; Part; Exotic Induced; Induced Showers; Energy; Ultra; Proposed; Exotic; Second Part
https://openalex.org/W4298008554,https://doi.org/10.5151/astrocientistas2021-2,Multi-mensageiros cósmicos e suas mensagens na física de astropartículas,2022,2022-09-01,article,0,Angela V. Olinto,,,Blucher Physics Proceedings,https://doi.org/10.5151/astrocientistas2021-2,True,"Este texto foi gerado a partir da transcrição das principais partes do seminário da Prof. Dr. Angela Olinto na conferência As Astrocientistas: I Encontro Brasileiro de Meninas e Mulheres da Astrofísica, Cosmologia e Gravitação, proferida virtualmente no dia 10/02/2021. A Prof. Dr. Angela Olinto é bacharel em física pela PUC-RJ, doutora em física pelo Instituto de Tecnologia de Massachussets (MIT) e fez estágio de pós-doutorado no grupo de astrofísica estelar do Fermilab. Ela se tornou a primeira professora do Departamento de Astronomia e Astrofísica da Universidade de Chicago, no qual posteriormente se tornou diretora. Nesta palestra, ela nos conta um pouco mais sobre seu trabalho.",Física; Prof Angela; Angela Olinto; Astrofísica; Multi; Mensageiros; Cósmicos; Suas; Mensagens; Astropartículas; Prof; Angela
https://openalex.org/W7132912502,,PIS-15-11 - Análisis de datos en astrofísica de alta energía y desarrollo de sistemas de adquisición de datos para detectores de astropartículas.,2015,2015-01-01,other,0,NICOLAS ALEJANDRO VASQUEZ PAZMIÑO; CARMEN ALICIA CARABALI CARABALI,,,Repositorio Digital (Escuela Politécnica Nacional),http://bibdigital.epn.edu.ec/handle/15000/24677,False,Objetivo general - Formar un grupo interdisciplinario en el área de la astrofísica de alta energía y la física de astropartículas en la EPN. Desarrollar un sistema de adquisición de datos para detectores de astropartículas de alta energía con elementos disponibles en el mercado local. Desarrollar un detector WCD autónomo para funcionar y recolectar flujos de astropartículas cargadas a altitudes superiores a los 3000 metros. Analizar y procesar observaciones astrofísicas de alta energía de bases de datos de libre acceso para validar los datos obtenidos por los detectores ubicados en la EPN y el resto del país.,Datos; Alta; Energía; Astropartículas; Alta Energía; Detectores; Astrofísica; Adquisición; Astrofísica Alta; Adquisición Datos; Datos Detectores; Detectores Astropartículas
